,name,make,model,type,year,price,engine,cylinders,fuel,mileage,transmission,trim,body,doors,exterior_color,interior_color,drivetrain,price_log
293,2024 BMW i7 eDrive50,BMW,i7,New,2024,110445.0,c,0.0,Electric,5.0,1-Speed Automatic,eDrive50,Sedan,4.0,Black Sapphire Metallic,Black,Rear-wheel Drive,11.612272938470927
884,2024 BMW i7 M70,BMW,i7,New,2024,195895.0,c,0.0,Electric,0.0,1-Speed Automatic,M70,Sedan,4.0,Gray Metallic,Caramel,All-wheel Drive,12.185334080380773
227,2024 BMW i5 M60,BMW,i5,New,2024,91825.0,c,0.0,Electric,7.0,1-Speed Automatic,M60,Sedan,4.0,Mineral White,Black,All-wheel Drive,11.427639870687868
419,2024 BMW i5 M60,BMW,i5,New,2024,96895.0,c,0.0,Electric,37.0,1-Speed Automatic,M60,Sedan,4.0,Black Sapphire,Black,All-wheel Drive,11.48138319696035
424,2024 BMW i5 M60,BMW,i5,New,2024,93335.0,c,0.0,Electric,3.0,1-Speed Automatic,M60,Sedan,4.0,Black Sapphire,Black,All-wheel Drive,11.443950450466698
436,2024 BMW i5 eDrive40,BMW,i5,New,2024,74695.0,c,0.0,Electric,7.0,1-Speed Automatic,eDrive40,Sedan,4.0,Alpine White,Black,Rear-wheel Drive,11.221168434476418
180,2024 BMW i4 Gran Coupe eDrive40,BMW,i4 Gran Coupe,New,2024,69685.0,c,0.0,Electric,5.0,1-Speed Automatic,eDrive40,Hatchback,4.0,Black,Tacora Red,Rear-wheel Drive,11.15174036555361
287,2024 BMW i4 Gran Coupe M50,BMW,i4 Gran Coupe,New,2024,73670.0,c,0.0,Electric,5.0,1-Speed Automatic,M50,Hatchback,4.0,White,Tacora Red,All-wheel Drive,11.207350939676859
531,2024 BMW i4 Gran Coupe M50,BMW,i4 Gran Coupe,New,2024,79300.0,c,0.0,Electric,5.0,1-Speed Automatic,M50,Hatchback,4.0,Blue,Oyster,All-wheel Drive,11.280993407622939
737,2024 BMW i4 Gran Coupe xDrive40,BMW,i4 Gran Coupe,New,2024,72435.0,c,0.0,Electric,5.0,1-Speed Automatic,xDrive40,Hatchback,4.0,White,Tacora Red,All-wheel Drive,11.190444886975753
137,2024 Acura ZDX A-SPEC,Acura,ZDX,New,2024,69850.0,c,0.0,Electric,0.0,Automatic,A-SPEC,SUV,4.0,Bright White Clearcoat,Black,All-wheel Drive,11.154105364685108
2,2024 GMC Yukon XL Denali,GMC,Yukon XL,New,2024,96410.0,"6.2L V-8 gasoline direct injection, variable valve contr",8.0,Gasoline,0.0,Automatic,Denali,SUV,4.0,Summit White,Teak/Light Shale,Four-wheel Drive,11.476365209658425
446,2024 GMC Yukon XL SLT,GMC,Yukon XL,New,2024,76648.0,"5.3L V-8 gasoline direct injection, variable valve contr",8.0,Gasoline,3.0,Automatic,SLT,SUV,4.0,WHITE,Black,Rear-wheel Drive,11.24697879133071
908,2024 Cadillac XT6 Luxury FWD,Cadillac,XT6,New,2024,50415.0,16V GDI DOHC Turbo,4.0,Gasoline,6.0,9-Speed Automatic,Luxury FWD,SUV,4.0,Crystal White Tri-Coat,Jet Black,Front-wheel Drive,10.828044028827316
615,2024 Cadillac XT5 Luxury,Cadillac,XT5,New,2024,47225.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,5.0,9-Speed Automatic,Luxury,SUV,4.0,Stellar Black Metallic,Jet Black,All-wheel Drive,10.762678692369711
855,2024 Cadillac XT5 Luxury,Cadillac,XT5,New,2024,47290.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,3.0,Automatic,Luxury,SUV,4.0,Argent Silver Metallic,Jet Black,All-wheel Drive,10.764054135637922
362,2024 Cadillac XT5 Premium Luxury,Cadillac,XT5,New,2024,60915.0,24V GDI DOHC,6.0,Gasoline,31.0,9-Speed Automatic,Premium Luxury,SUV,4.0,Silver Metallic,Jet Black,Front-wheel Drive,11.017234728788507
155,2024 Cadillac XT5 Luxury,Cadillac,XT5,New,2024,46890.0,16V GDI DOHC Turbo,4.0,Gasoline,10.0,9-Speed Automatic,Luxury,SUV,4.0,Crystal White Tri-Coat,Jet Black,Front-wheel Drive,10.755559712083633
360,2024 Volvo XC90 Recharge Plug-In Hybrid T8 Plus Bright Theme 7 Passenger,Volvo,XC90 Recharge Plug-In Hybrid,New,2024,75595.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,6.0,8-Speed Automatic,T8 Plus Bright Theme 7 Passenger,SUV,4.0,Bright,Charcoal,All-wheel Drive,11.233145422414301
65,2024 BMW X7 xDrive40i,BMW,X7,New,2024,89450.0,24V GDI DOHC Turbo,6.0,Gasoline,10.0,8-Speed Automatic,xDrive40i,SUV,4.0,Black Sapphire Metallic,Cognac,All-wheel Drive,11.401435088936866
862,2024 BMW X7 xDrive40i,BMW,X7,New,2024,88695.0,24V GDI DOHC Turbo,6.0,Gasoline,9.0,8-Speed Automatic,xDrive40i,SUV,4.0,Sparkling,Black,All-wheel Drive,11.39295879692304
919,2024 BMW X3 sDrive30i,BMW,X3,New,2024,49395.0,"gasoline direct injection, DOHC, variable valve control,",4.0,Gasoline,5.0,8-Speed Automatic Sport,sDrive30i,SUV,4.0,Jet Black,Cognac,Rear-wheel Drive,10.807604483478574
149,2024 Jeep Wrangler 4xe Sport S,Jeep,Wrangler 4xe,New,2024,54835.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,11.0,8-Speed A/T,Sport S,SUV,4.0,Silver Zynith Clearcoat,Black,Four-wheel Drive,10.912083955194309
339,2024 Jeep Wrangler 4xe Sport S,Jeep,Wrangler 4xe,New,2024,51083.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,3.0,8-Speed A/T,Sport S,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,10.841207039823576
420,2024 Jeep Wrangler 4xe Rubicon X,Jeep,Wrangler 4xe,New,2024,54490.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,2.0,Automatic,Rubicon X,SUV,4.0,Bikini Pearl Coat,Black,Four-wheel Drive,10.905772477577145
441,2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,New,2024,58648.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,3.0,8-Speed A/T,Sahara,SUV,4.0,Anvil Clear Coat,Black,Four-wheel Drive,10.979308752903423
520,2024 Jeep Wrangler 4xe Rubicon X,Jeep,Wrangler 4xe,New,2024,54226.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,2.0,Automatic,Rubicon X,SUV,4.0,Black Clearcoat,Black,Four-wheel Drive,10.900915777203222
129,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,66960.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,8-Speed Automatic,Rubicon,SUV,4.0,Earl Clearcoat,Black,Four-wheel Drive,11.111850705163357
157,2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,New,2024,53535.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,4.0,8-Speed Automatic,Sport,SUV,4.0,Anvil Clearcoat,Black,Four-wheel Drive,10.88809092459237
185,2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,New,2024,57870.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,8-Speed Automatic,Sahara,SUV,4.0,Pearlcoat,Black,Four-wheel Drive,10.965954394567884
217,2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,New,2024,50755.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,8.0,8-Speed Automatic,Sport,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,10.834765414218532
224,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,61860.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,8-Speed Automatic,Rubicon,SUV,4.0,Anvil Clearcoat,Black,Four-wheel Drive,11.03262904623906
361,2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,New,2024,51845.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,7.0,8-Speed Automatic,Sport,SUV,4.0,Pearlcoat,Black,Four-wheel Drive,10.856013776992379
504,2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,New,2024,49550.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,8-Speed Automatic,Sport,SUV,4.0,Anvil Clearcoat,Black,Four-wheel Drive,10.810737539758135
571,2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,New,2024,58230.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,17.0,8-Speed Automatic,Sahara,SUV,4.0,Anvil Clearcoat,Black,Four-wheel Drive,10.972155964831165
572,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,67190.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,12.0,8-Speed Automatic,Rubicon,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,11.115279705914196
576,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,66960.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,5.0,8-Speed Automatic,Rubicon,SUV,4.0,Black Clearcoat,Black,Four-wheel Drive,11.111850705163357
594,2024 Jeep Wrangler 4xe Sport,Jeep,Wrangler 4xe,New,2024,51350.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,8.0,8-Speed Automatic,Sport,SUV,4.0,Anvil Clearcoat,Black,Four-wheel Drive,10.846420215356705
645,2024 Jeep Wrangler 4xe Sahara,Jeep,Wrangler 4xe,New,2024,58840.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,4.0,8-Speed Automatic,Sahara,SUV,4.0,Hydro Blue Pearlcoat,Black,Four-wheel Drive,10.982577174715374
659,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,65295.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,26.0,8-Speed Automatic,Rubicon,SUV,4.0,Hydro Blue Pearlcoat,Black,Four-wheel Drive,11.086670742654508
660,2024 Jeep Wrangler 4xe Rubicon,Jeep,Wrangler 4xe,New,2024,64930.0,16V GDI DOHC Turbo Hybrid,4.0,Hybrid,12.0,8-Speed Automatic,Rubicon,SUV,4.0,Black Clearcoat,Black,Four-wheel Drive,11.081065045502532
41,2024 Jeep Wrangler Sport S,Jeep,Wrangler,New,2024,46973.0,"gasoline direct injection, DOHC, intercooled turbo, premi",4.0,Gasoline,10.0,Automatic,Sport S,SUV,4.0,Hydro Blue Pearlcoat,Black,Four-wheel Drive,10.757328247537078
117,2024 Jeep Wrangler 4-Door Sahara 4x4,Jeep,Wrangler,New,2024,59456.0,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6.0,Gasoline,15.0,Automatic,4-Door Sahara 4x4,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,10.99299182217351
162,2024 Jeep Wrangler Rubicon,Jeep,Wrangler,New,2024,60972.0,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6.0,Gasoline,12.0,Automatic,Rubicon,SUV,4.0,Granite Crystal Metallic Clearcoat,Black,Four-wheel Drive,11.018170021381732
266,2024 Jeep Wrangler Rubicon,Jeep,Wrangler,New,2024,59542.0,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6.0,Gasoline,10.0,Automatic,Rubicon,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,10.994437224868893
356,2024 Jeep Wrangler Rubicon,Jeep,Wrangler,New,2024,67510.0,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6.0,Gasoline,10.0,Automatic,Rubicon,SUV,4.0,Anvil Clear Coat,Black,Four-wheel Drive,11.120031014035916
523,2024 Jeep Wrangler Sport S,Jeep,Wrangler,New,2024,48612.0,"ar 3.6L V-6 DOHC, variable valve control, regular unleade",6.0,Gasoline,10.0,Automatic,Sport S,SUV,4.0,Black Clearcoat,Black,Four-wheel Drive,10.79162569299069
75,2024 Jeep Wagoneer L Series II Carbide 4x4,Jeep,Wagoneer L,New,2024,86137.0,"ne 3L I-6 gasoline direct injection, DOHC, variable valve",6.0,Gasoline,5.0,Automatic,Series II Carbide 4x4,SUV,4.0,Velvet Red Pearlcoat,Global Black,Four-wheel Drive,11.363694330975855
199,2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,New,2024,78543.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,16.0,8-Speed Automatic,Series II,SUV,4.0,Riverrock Green,Global Black,Four-wheel Drive,11.271401524499531
430,2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,New,2024,87190.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,12.0,8-Speed Automatic,Series II,SUV,4.0,Velvet Red Pearlcoat,Global Black,Four-wheel Drive,11.37584492442186
607,2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,New,2024,83845.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,8.0,8-Speed Automatic,Series II,SUV,4.0,Bright White Clearcoat,Black,Four-wheel Drive,11.33672513518121
774,2024 Jeep Wagoneer L Base,Jeep,Wagoneer L,New,2024,74366.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,4.0,8-Speed Automatic,Base,SUV,4.0,Diamond Black,Global Black,Four-wheel Drive,11.216754127122462
778,2024 Jeep Wagoneer L Series II,Jeep,Wagoneer L,New,2024,81160.0,24V GDI DOHC Twin Turbo,6.0,Gasoline,4.0,8-Speed Automatic,Series II,SUV,4.0,Silver Zynith,Global Black,Four-wheel Drive,11.30417779393975
